"tank","species","length_µm","length_mm","treatment","temperature","estimate_a","estimate_b","DW_mg","DW_µg","B_µg","B_mg.m2"
"C1","G_h",3575.226,3.575226,"1HW","25",0.19,2.34,30.5302380036742,30530.2380036742,1328.32180715906,0.868184187685659
"C1","A_o",9509.1028790905,9.5091028790905,"1HW","25",-1.69,2.6,7.13120333355283,7131.20333355283,2224.22231973513,1.45374007825825
"C1","I_o",8406.985,8.406985,"1HW","25",-1.77,2.51,3.55506122130629,3555.06122130629,1070.07342761319,0.699394397132806
"C1","G_h",4097.234,4.097234,"1HW","25",0.19,2.34,41.9979794799232,41997.9794799232,1827.26489040429,1.19429077804202
"C1","A_o",9317.68759949346,9.31768759949346,"1HW","25",-1.69,2.6,6.76396229829094,6763.96229829094,2109.67984083694,1.37887571296532
"C1","I_o",5481.428,5.481428,"1HW","25",-1.77,2.51,1.21513133949327,1215.13133949327,365.754533187473,0.239055250449329
"C1","G_h",2828.879,2.828879,"1HW","25",0.19,2.34,17.6513379443763,17651.3379443763,767.9814718191,0.501948674391569
"C1","A_o",11990.0853275251,11.9900853275251,"1HW","25",-1.69,2.6,13.0298048666519,13029.8048666519,4063.99613790873,2.65620662608414
"C1","I_o",4592.118,4.592118,"1HW","25",-1.77,2.51,0.779206790358565,779.206790358565,234.541243897928,0.153294930652241
"C1","G_h",3789.236,3.789236,"1HW","25",0.19,2.34,34.9792804941061,34979.2804941061,1521.89252744977,0.99470099833318
"C1","A_o",10416.3764259388,10.4163764259388,"1HW","25",-1.69,2.6,9.03781259262506,9037.81259262506,2818.89374763976,1.84241421414363
"C1","I_o",7322.637,7.322637,"1HW","25",-1.77,2.51,2.51371154215779,2513.71154215779,756.627174189495,0.494527564829735
"C1","G_h",4660.007,4.660007,"1HW","25",0.19,2.34,56.7576716979361,56757.6716979361,2469.43548330248,1.61401011980554
"C1","A_o",11063.2047695997,11.0632047695997,"1HW","25",-1.69,2.6,10.5703768833988,10570.3768833988,3296.90054993208,2.15483696073992
"C1","G_h",5442.729,5.442729,"1HW","25",0.19,2.34,81.6227275496898,81622.7275496897,3551.27427932292,2.32109430021106
"C1","A_o",9515.85282099053,9.51585282099053,"1HW","25",-1.69,2.6,7.14437204389336,7144.37204389336,2228.32964049034,1.45642460162767
"C1","G_h",5502.617,5.502617,"1HW","25",0.19,2.34,83.7398402789811,83739.8402789811,3643.38646679402,2.38129834430982
"C1","A_o",10478.4952545969,10.4784952545969,"1HW","25",-1.69,2.6,9.17861586892658,9178.61586892658,2862.8102895182,1.87111783628641
"C1","G_h",5334.545,5.334545,"1HW","25",0.19,2.34,77.876760266642,77876.760266642,3388.29323638516,2.2145707427354
"C1","A_o",8378.46898207858,8.37846898207858,"1HW","25",-1.69,2.6,5.13130857567955,5131.30857567955,1600.45514475445,1.0460491142186
"C1","G_h",4320.165,4.320165,"1HW","25",0.19,2.34,47.5412703004676,47541.2703004676,2068.44460474086,1.351924578262
"C1","A_o",9414.67340288844,9.41467340288844,"1HW","25",-1.69,2.6,6.94854177705173,6948.54177705173,2167.25018026244,1.41650338579244
"C1","G_h",1170.705,1.170705,"1HW","25",0.19,2.34,2.23958261350121,2239.58261350121,97.4406561812562,0.063686703386442
"C1","A_o",13009.8584181873,13.0098584181873,"1HW","25",-1.69,2.6,16.110487519549,16110.487519549,5024.86105734734,3.28422291329892
"C1","G_h",4459.994,4.459994,"1HW","25",0.19,2.34,51.2203099550864,51220.3099550864,2228.51373364988,1.45654492395417
"C1","A_o",10921.0964888137,10.9210964888137,"1HW","25",-1.69,2.6,10.2209728528112,10220.9728528112,3187.92143279181,2.08360877960249
"C1","G_h",3523.505,3.523505,"1HW","25",0.19,2.34,29.5067411997296,29506.7411997296,1283.79109881432,0.83907914955184
"C1","A_o",9714.56671762367,9.71456671762366,"1HW","25",-1.69,2.6,7.5387776039392,7538.7776039392,2351.34473466864,1.53682662396643
"C1","G_h",4293.812,4.293812,"1HW","25",0.19,2.34,46.8654379098199,46865.4379098199,2039.04021875561,1.33270602533046
"C1","A_o",8971.00153358703,8.97100153358703,"1HW","25",-1.69,2.6,6.12895482640532,6128.95482640532,1911.62101035582,1.24942549696459
"C1","G_h",2245.155,2.245155,"1HW","25",0.19,2.34,10.2781845137141,10278.1845137141,447.187363096478,0.29227932228528
"C1","A_o",8294.37248971846,8.29437248971846,"1HW","25",-1.69,2.6,4.9984711660994,4998.4711660994,1559.0231567064,1.01896938346824
"C1","G_h",2848.752,2.848752,"1HW","25",0.19,2.34,17.942868109665,17942.868109665,780.66548286255,0.510238877687941
"C1","A_o",9137.55776819726,9.13755776819726,"1HW","25",-1.69,2.6,6.42922097038091,6429.22097038091,2005.27402066181,1.31063661481164
"C1","G_h",3333.624,3.333624,"1HW","25",0.19,2.34,25.9193960039437,25919.3960039437,1127.71144909798,0.737066306599989
"C1","A_o",10152.3872477316,10.1523872477316,"1HW","25",-1.69,2.6,8.45429221583894,8454.29221583894,2636.89374212017,1.72345996217004
"C1","G_h",1921.37,1.92137,"1HW","25",0.19,2.34,7.13920335423314,7139.20335423314,310.615315217317,0.203016545893671
"C1","A_o",11571.9100138444,11.5719100138444,"1HW","25",-1.69,2.6,11.8810035128359,11881.0035128359,3705.68499565352,2.42201633702845
"C1","G_h",1963.21,1.96321,"1HW","25",0.19,2.34,7.50831030056489,7508.31030056489,326.674567881097,0.213512789464769
"C1","A_o",9690.61452251325,9.69061452251325,"1HW","25",-1.69,2.6,7.4905451779272,7490.5451779272,2336.30104099549,1.5269941444415
"C1","G_h",1493.392,1.493392,"1HW","25",0.19,2.34,3.95882897278081,3958.82897278081,172.242314479337,0.112576676130285
"C1","A_o",12404.8122084481,12.4048122084481,"1HW","25",-1.69,2.6,14.2342472248314,14234.2472248314,4439.66170942491,2.90173967936269
"C1","G_h",1496.537,1.496537,"1HW","25",0.19,2.34,3.97836525510208,3978.36525510208,173.092306865083,0.113132226709205
"C1","A_o",9473.5615294134,9.4735615294134,"1HW","25",-1.69,2.6,7.06211082093581,7062.11082093581,2202.67236504988,1.43965514055548
"C1","G_h",1031.645,1.031645,"1HW","25",0.19,2.34,1.66594573010767,1665.94573010767,72.4826332038167,0.0473742700678541
"C1","A_o",11543.5841523596,11.5435841523596,"1HW","25",-1.69,2.6,11.8055371050495,11805.5371050495,3682.14702306493,2.40663204121891
"C1","G_h",1674.985,1.674985,"1HW","25",0.19,2.34,5.17828033296161,5178.28033296161,225.298692038627,0.14725404708407
"C1","A_o",8533.49818915536,8.53349818915536,"1HW","25",-1.69,2.6,5.38183602847792,5381.83602847792,1678.59465728226,1.09712069103416
"C1","G_h",900.979,0.900979,"1HW","25",0.19,2.34,1.21347916612327,1213.47916612327,52.7965369513578,0.0345075404910835
"C1","A_o",9663.79775842557,9.66379775842557,"1HW","25",-1.69,2.6,7.43677024955871,7436.77024955871,2319.52864083736,1.51603179139697
"C1","G_h",3473.4,3.4734,"1HW","25",0.19,2.34,28.5342348840234,28534.2348840234,1241.47890502804,0.811424120933362
"C1","A_o",12884.0774801624,12.8840774801624,"1HW","25",-1.69,2.6,15.708642367388,15708.642367388,4899.52555438833,3.20230428391394
"C1","G_h",3697.373,3.697373,"1HW","25",0.19,2.34,33.0270847743934,33027.0847743934,1436.95561519822,0.939186676600142
"C1","A_o",8221.23140857928,8.22123140857928,"1HW","25",-1.69,2.6,4.8846772019599,4884.6772019599,1523.53081929129,0.995771777314571
"C1","G_h",2564.554,2.564554,"1HW","25",0.19,2.34,14.0309709230752,14030.9709230752,610.465095309525,0.398996794319951
"C1","A_o",9701.2283252238,9.7012283252238,"1HW","25",-1.69,2.6,7.51189463912846,7511.89463912846,2342.95993794417,1.53134636466939
"C1","G_h",4947.686,4.947686,"1HW","25",0.19,2.34,65.29816600428,65298.16600428,2841.01872578062,1.85687498417034
"C1","A_o",6701.02281280353,6.70102281280353,"1HW","25",-1.69,2.6,2.87056146663082,2870.56146663082,895.328121442151,0.58518177872036
"C1","G_h",4126.417,4.126417,"1HW","25",0.19,2.34,42.7012990032085,42701.2990032085,1857.8651975512,1.21429097879163
"C1","A_o",9565.33245754845,9.56533245754845,"1HW","25",-1.69,2.6,7.24136068639969,7241.36068639969,2258.58039808806,1.47619633861965
"C1","G_h",10833.527,10.833527,"1HW","25",0.19,2.34,408.659402693099,408659.402693099,17780.1167561324,11.6209913438774
"C1","A_o",10427.668484028,10.427668484028,"1HW","25",-1.69,2.6,9.06330845341882,9063.30845341882,2826.84590662133,1.84761170367407
"C1","G_h",4463.707,4.463707,"1HW","25",0.19,2.34,51.3201468193362,51320.1468193362,2232.85747587441,1.45938397115974
"C1","A_o",11392.8769686837,11.3928769686837,"1HW","25",-1.69,2.6,11.4089810670267,11408.9810670267,3558.46119480563,2.32579163059191
"C1","G_h",5318.91,5.31891,"1HW","25",0.19,2.34,77.3437066953254,77343.7066953254,3365.10092838289,2.19941237149209
"C1","A_o",9189.03429191199,9.18903429191199,"1HW","25",-1.69,2.6,6.5238154634778,6523.8154634778,2034.77804305873,1.32992028958087
"C1","G_h",3047.334,3.047334,"1HW","25",0.19,2.34,21.0074304290847,21007.4304290847,913.99968608079,0.597385415739078
"C1","A_o",7729.40582416702,7.72940582416702,"1HW","25",-1.69,2.6,4.16082917681474,4160.82917681474,1297.76262024852,0.848210862907527
"C1","G_h",2424.644,2.424644,"1HW","25",0.19,2.34,12.3048486990194,12304.8486990194,535.364279136416,0.349911293553213
"C1","A_o",7924.42698511218,7.92442698511218,"1HW","25",-1.69,2.6,4.43932006037561,4439.3200603756,1384.62392683115,0.904982958713171
"C1","G_h",3680.867,3.680867,"1HW","25",0.19,2.34,32.683103824537,32683.103824537,1421.98955443948,0.929404937542146
"C1","A_o",8167.44153440005,8.16744153440005,"1HW","25",-1.69,2.6,4.80201695597655,4802.01695597655,1497.74908856909,0.978920972920971
"C1","G_h",3359.179,3.359179,"1HW","25",0.19,2.34,26.3867293873591,26386.7293873591,1148.04437687698,0.750355801880376
"C1","A_o",7044.99104398175,7.04499104398175,"1HW","25",-1.69,2.6,3.26955884321701,3269.55884321701,1019.77540319939,0.666519871372148
"C1","G_h",1185.715,1.185715,"1HW","25",0.19,2.34,2.30735243031164,2307.35243031164,100.389212478971,0.0656138643653406
"C1","A_o",7212.17858401844,7.21217858401844,"1HW","25",-1.69,2.6,3.47514417477779,3475.14417477779,1083.89746811319,0.708429717721041
"C1","G_h",1924.164,1.924164,"1HW","25",0.19,2.34,7.16352001861837,7163.52001861837,311.673294378056,0.203708035541213
